feature,importance
time_since_start,0.11469646216123183
prev_event_5,0.08724710688583504
dept_changes,0.07295349385853742
trace_length,0.060355647544881076
SIRSCritLeucos,0.0520934183969375
unique_activities,0.0516364998247793
SIRSCritLeucos_changes,0.05010128303183735
CRP_last,0.042290993449194576
time_since_last_event,0.04217030821642315
current_dept_duration,0.040213801859599094
Leucocytes_max,0.028593298161217265
CRP_mean,0.026982640507774068
LacticAcid_last,0.023872424362908092
Leucocytes_mean,0.023075007107249412
LacticAcid_mean,0.022348872868833927
time_of_day,0.020607979654629748
CRP,0.019284803065678466
Leucocytes,0.019186153280255143
Leucocytes_last,0.017958879658477502
prev_event_3,0.01644655933164247
LacticAcid_max,0.01637789778352232
LacticAcid,0.013239092310523734
CRP_max,0.012895190085559415
SIRSCriteria2OrMore_duration,0.012070097759498249
repeated_activities,0.010247089554578917
SIRSCritTachypnea_changes,0.009537308456552002
current_event,0.00945878932823971
SIRSCritTemperature_changes,0.008669095365739862
department,0.008534127226685746
prev_event_4,0.008421420261524797
SIRSCritTachypnea_duration,0.0072477317027224335
prev_event_2,0.007157257267599256
CRP_count,0.007088142156305594
prev_event_1,0.007083440778655812
SIRSCriteria2OrMore_changes,0.0040786536982043
SIRSCritHeartRate_changes,0.0038003234928137754
weekend,0.0037002410987123434
LacticAcid_count,0.0035571802820213443
Leucocytes_count,0.0033601999324579324
event_position,0.003235710183265537
SIRSCritTemperature_duration,0.003216538979989006
SIRSCritHeartRate_duration,0.002510796494225549
SIRSCritLeucos_duration,0.0015278683866000234
SIRSCritTachypnea,0.0004132035117703535
SIRSCritHeartRate,0.0002437993381663008
SIRSCritTemperature,0.00016583648450756578
SIRSCriteria2OrMore,4.73348516357853e-05
